BLOCKGR GISJOIN Adopted Week
28470026.00: G28004700026 1 281
25214009.00: G25002104009 1 2
06250121.00: G06002500121 0 842
55590019.00: G55005900019 1 325
48610136.00: G48006100136 0 842
12090608.00: G12000900608 1 200
34090214.00: G34000900214 1 473
06130111.00: G06011300111 1 200
51402110.00: G51074002110 1 325
55090202.00: G55000900202 0 842
25250004.00: G2500250000401 1 99
53599505.00: G53005909505 0 842
09010453.00: G09000100453 1 99
09010608.00: G09000100608 1 153
53330247.00: G5300330024701 0 842
12730004.00: G12007300004 1 200
41510035.00: G4100510003502 1 153
54390113.00: G5400390011302 0 842
54390109.00: G54003900109 0 842
13759509.00: G13017509509 1 373
53530618.00: G53005300618 1 200
55299810.00: G55002909810 0 842
53530630.00: G53005300630 1 200
12250023.00: G12002500023 1 200
53530635.00: G53005300635 1 153
55010015.00: G5501010001501 1 372
53330025.00: G53003300025 1 99
53330316.00: G53003300316 1 581
06590635.00: G06005900635 1 2
26251703.00: G26012501703 1 99
18190509.00: G1800190050902 0 842
17314101.00: G17003104101 0 842
06730098.00: G0600730009801 1 153
51402108.00: G51074002108 1 272
05190012.00: G05011900012 1 464
13210057.00: G13012100057 1 633
55710051.00: G55007100051 0 842
36810253.00: G36008100253 1 240
25214041.00: G25002104041 1 99
13210056.00: G13012100056 0 842
53610407.00: G53006100407 1 200
06670058.00: G0600670005803 1 153
13819801.00: G13008109801 0 842
33170805.00: G33001700805 0 842
37810146.00: G37008100146 1 478
42454074.00: G4200450407403 1 529
27030507.00: G2700030050702 1 301
06590761.00: G0600590076102 1 153
48010233.00: G48020100233 1 633
17898547.09: G1700890854798 0 842
06376203.00: G0600370620302 1 424
12090663.00: G1200090066301 1 200
25010132.00: G25000100132 1 341
12250006.00: G1200250000606 1 153
04190028.00: G04001900028 1 200
28499504.00: G28014909504 1 99
06816043.00: G06008106043 1 99
54479536.00: G54004709536 0 842
54459562.00: G54004509562 0 842
17312513.00: G17003102513 1 341
06952527.00: G0600950252705 1 200
22150102.00: G22001500102 1 153
06371977.00: G06003701977 1 4
54259503.00: G54002509503 0 842
40130105.00: G40011300105 0 842
41530204.00: G41005300204 0 842
17313704.00: G17003103704 0 842
25214002.00: G25002104002 1 2
54239694.00: G54002309694 0 842
09010609.00: G09000100609 1 153
55359908.00: G55013509908 0 842
25250402.00: G25002500402 1 2
25250912.00: G25002500912 1 473
25250101.00: G2500250010102 1 4
12030401.00: G12000300401 1 473
25235422.00: G25002305422 1 529
51402109.00: G51074002109 1 325
20730004.00: G20017300004 1 301
06372221.00: G06003702221 1 2
22790109.00: G22007900109 1 247
20090440.00: G2002090044001 1 424
41530051.00: G41005300051 1 99
54139626.00: G54001309626 0 842
04135227.01: G0400130522710 1 424
25158201.00: G25001508201 1 240
26635834.00: G26016305834 1 99
09010220.00: G09000100220 1 99
06855053.00: G0600850505304 0 842
26635832.00: G26016305832 1 99
51200903.09: G5106200090397 0 842
26635835.00: G26016305835 1 99
17316501.00: G17003106501 1 581
01970030.00: G01009700030 1 581
40510006.00: G40005100006 0 842
06373105.00: G06003703105 0 842
55310301.00: G55003100301 0 842
19719701.00: G19007109701 0 842
29101055.00: G29051001055 1 153
55299504.00: G55012909504 0 842
51090102.00: G51000900102 1 325
40970403.00: G40009700403 1 529
53419705.00: G53004109705 0 842
17318156.00: G17003108156 1 325
40539564.00: G40005309564 0 842
06371154.00: G0600370115402 1 153
12250067.00: G1200250006701 1 99
36610098.00: G36006100098 1 99
54019658.00: G54000109658 0 842
06670022.00: G06006700022 1 200
26635573.00: G26016305573 1 153
36050027.00: G3600050002702 0 842
55410109.00: G55014100109 0 842
36110401.00: G36001100401 1 424
54330308.00: G54003300308 0 842
36610090.00: G36006100090 1 165
36610113.00: G36006100113 1 372
12110017.00: G1201110001702 0 842
19130007.00: G19001300007 1 325
55791302.00: G55007901302 1 372
36610109.00: G36006100109 1 372
36610084.00: G36006100084 1 165
36610082.00: G36006100082 1 165
41510097.00: G4100510009701 1 99
28450304.00: G28004500304 1 633
13150001.00: G13021500001 1 424
28259501.00: G28002509501 0 842
35010001.01: G3500010000111 1 153
35010001.01: G3500010000117 1 153
35010001.00: G3500010000109 1 153
35010001.02: G3500010000120 1 153
54110101.00: G5400110010102 0 842
17312515.00: G17003102515 1 240
35010001.01: G3500010000110 1 153
36470206.00: G36004700206 1 99
36470364.00: G36004700364 1 341
17314205.00: G17003104205 1 99
54159580.00: G54001509580 0 842
12250047.00: G1200250004701 1 153
54839664.00: G54008309664 1 529
54390123.00: G54003900123 0 842
35010020.00: G35000100020 1 272
06730029.00: G0600730002903 1 2
36031905.00: G3601030190501 1 325
53610403.00: G53006100403 1 200
06377019.00: G06003707019 0 842
28919506.00: G28009109506 0 842
45450021.00: G4500450002105 1 424
17312514.00: G17003102514 1 272
54090301.00: G54000900301 1 247
06730134.00: G0600730013408 1 153
54190207.00: G54001900207 1 289
06730120.00: G06007300120 1 341
34110401.00: G34001100401 1 424
54059587.00: G54000509587 1 633
36290013.00: G3600290001301 0 842
54019655.00: G54000109655 0 842
54259502.00: G54002509502 0 842
42035261.00: G4200030526101 0 842
13759609.00: G13027509609 1 464
51999905.00: G51009909905 0 842
27759702.00: G27007509702 0 842
36470496.00: G36004700496 1 325
36593005.00: G36005903005 1 464
54390135.00: G54003900135 1 341
51479903.00: G51004709903 1 581
55390034.00: G55013900034 1 99
36039503.00: G36000309503 0 842
25173415.00: G25001703415 1 153
55299503.00: G55012909503 0 842
36190011.00: G3601190001101 1 240
25173413.00: G25001703413 1 153
26810135.00: G26008100135 1 99
21110003.00: G21011100003 1 633
12990019.00: G1200990001905 1 325
26635469.00: G26016305469 1 99
26210005.00: G26002100005 1 325
26210004.00: G26002100004 1 325
24102708.00: G2405100270801 1 424
55079603.00: G55000709603 0 842
54279686.00: G54002709686 0 842
01730003.00: G01007300003 1 529
54810108.00: G54008100108 0 842
22710017.03: G2200710001732 0 842
54190204.00: G54001900204 1 464
21179804.00: G21021709804 0 842
24102707.00: G2405100270703 1 424
54079681.00: G54000709681 0 842
39419561.00: G39014109561 1 200
17316007.00: G17003106007 0 842
19239702.00: G19002309702 0 842
27230403.00: G2701230040302 1 372
48010371.00: G4802010037102 1 633
42792155.00: G4200790215502 0 842
54190209.00: G54001900209 1 200
27270301.00: G2700270030104 0 842
24102603.00: G2405100260302 1 372
22710020.00: G22007100020 1 301
18973532.00: G18009703532 1 99
51600703.00: G51076000703 1 341
26251835.00: G26012501835 1 478
48010305.00: G4802010030502 1 791
22710028.00: G22007100028 1 301
22710097.00: G22007100097 1 325
54290203.00: G54002900203 1 247
22710105.00: G22007100105 1 325
22710064.00: G22007100064 1 289
05190016.00: G05011900016 1 464
09034168.00: G09000304168 1 301
54390006.00: G54003900006 1 240
54179651.00: G54001709651 0 842
54070009.00: G5401070000902 1 372
42710003.00: G42007100003 1 325
22539802.00: G22005309802 0 842
22510275.00: G2200510027502 1 281
53330294.00: G5300330029403 1 301
06375759.00: G06003705759 1 424
08659616.00: G08006509616 0 842
54390001.00: G54003900001 1 165
04190030.00: G0400190003001 1 200
54379725.00: G54003709725 1 464
54330305.00: G54003300305 0 842
06372340.00: G06003702340 0 842
17978836.00: G1701970883601 1 372
22710076.00: G2200710007605 1 289
26750056.00: G26007500056 1 325
